t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
0.000009,-192,578,16330,-4,-32,-3,0,0,1
0.010064,-174,575,16347,-3,-31,-2,1,1,2
0.020065,-175,586,16350,-3,-31,-2,1,1,2
0.030065,-177,577,16351,-2,-32,-2,2,0,2
0.040066,-188,579,16352,-4,-32,-2,0,0,2
0.050065,-187,584,16350,-4,-32,-3,0,0,1
0.060073,-189,578,16356,-4,-31,-3,0,1,1
0.070065,-188,566,16365,-3,-33,-3,1,-1,1
0.080073,-191,562,16360,-2,-33,-3,2,-1,1
0.090076,-196,561,16362,-4,-33,-4,0,-1,0
0.100065,-183,561,16361,-4,-33,-4,0,-1,0
0.110065,-187,570,16352,-2,-33,-3,2,-1,1
0.120085,-183,575,16348,-2,-32,-3,2,0,1
0.130065,-179,575,16344,-2,-33,-3,2,-1,1
0.140073,-184,566,16330,0,-33,-2,4,-1,2
0.150065,-186,554,16332,-1,-32,-3,3,0,1
0.160073,-187,556,16339,-2,-31,-4,2,1,0
0.170064,-202,559,16351,-4,-32,-4,0,0,0
0.180073,-198,564,16350,-4,-32,-3,0,0,1
0.190065,-192,565,16345,-2,-33,-3,2,-1,1
0.200073,-181,567,16350,-1,-33,-4,3,-1,0
0.210064,-188,563,16352,-2,-33,-3,2,-1,1
0.220063,-191,556,16353,-3,-32,-3,1,0,1
0.230064,-189,554,16341,-4,-31,-2,0,1,2
0.240075,-188,561,16342,-4,-31,-3,0,1,1
0.250064,-187,567,16339,-3,-32,-3,1,0,1
0.260076,-188,565,16342,-2,-34,-3,2,-2,1
0.270065,-183,544,16359,-2,-35,-2,2,-3,2
0.280065,-188,547,16354,-3,-34,-2,1,-2,2
0.290063,-189,552,16345,-5,-33,-3,-1,-1,1
0.300067,-191,561,16350,-6,-33,-3,-2,-1,1
0.310118,-186,577,16361,-2,-34,-4,2,-2,0
0.320074,-188,578,16353,-2,-34,-5,2,-2,-1
0.330063,-192,585,16342,-3,-33,-4,1,-1,0
0.340062,-202,577,16341,-4,-32,-5,0,0,-1
0.350062,-207,574,16335,-4,-31,-6,0,1,-2
0.360063,-199,570,16334,-6,-31,-5,-2,1,-1
0.370062,-208,572,16344,-6,-31,-4,-2,1,0
0.380064,-188,555,16352,-4,-32,-3,0,0,1
0.390065,-188,558,16362,-4,-33,-4,0,-1,0
0.400079,-176,561,16356,-3,-33,-2,1,-1,2
0.410064,-189,559,16355,-4,-32,-2,0,0,2
0.420063,-187,566,16364,-6,-31,-3,-2,1,1
0.430065,-190,563,16370,-5,-31,-3,-1,1,1
0.440074,-194,562,16373,-3,-31,-2,1,1,2
0.450064,-195,571,16338,-2,-31,-2,2,1,2
0.460073,-193,575,16340,-2,-32,-3,2,0,1
0.470066,-181,581,16345,-2,-31,-2,2,1,2
0.480071,-174,578,16341,-4,-32,-1,0,0,3
0.490063,-171,571,16341,-3,-32,-1,1,0,3
0.500062,-168,561,16343,-2,-34,-2,2,-2,2
0.510063,-168,559,16343,-2,-34,-1,2,-2,3
0.520063,-176,555,16344,-3,-32,-2,1,0,2
0.530063,-188,571,16345,-3,-31,-2,1,1,2
0.540063,-197,571,16343,-3,-31,-3,1,1,1
0.550064,-190,588,16326,-5,-32,-3,-1,0,1
0.560077,-187,594,16321,-4,-31,-3,0,1,1
0.570063,-187,577,16335,-4,-33,-4,0,-1,0
0.580077,-192,573,16328,-3,-34,-3,1,-2,1
0.590073,-186,563,16329,-3,-34,-3,1,-2,1
0.600073,-181,558,16323,-4,-34,-3,0,-2,1
0.610073,-184,560,16334,-3,-33,-4,1,-1,0
0.620080,-171,565,16351,-2,-33,-2,2,-1,2
0.630103,-185,565,16348,-2,-33,-2,2,-1,2
0.640079,-183,573,16336,-3,-32,-1,1,0,3
0.650065,-187,574,16335,-3,-31,-2,1,1,2
0.660075,-188,565,16333,-3,-33,-4,1,-1,0
0.670064,-177,552,16348,-2,-33,-5,2,-1,-1
0.680071,-181,558,16340,-1,-33,-4,3,-1,0
0.690063,-174,577,16337,-1,-32,-3,3,0,1
0.700063,-175,575,16351,-3,-32,-4,1,0,0
0.710064,-179,575,16352,-3,-31,-3,1,1,1
0.720064,-181,571,16342,-4,-31,-3,0,1,1
0.730062,-186,574,16335,-4,-31,-3,0,1,1
0.740065,-178,572,16328,-2,-33,-3,2,-1,1
0.750063,-171,561,16339,-3,-32,-4,1,0,0
0.760074,-186,576,16367,-5,-31,-4,-1,1,0
0.770063,-181,570,16374,-5,-32,-3,-1,0,1
0.780063,-182,562,16369,-4,-31,-2,0,1,2
0.790062,-184,554,16353,-4,-30,-2,0,2,2
0.800062,-183,569,16354,-4,-31,-3,0,1,1
0.810063,-179,579,16368,-4,-32,-3,0,0,1
0.820063,-181,571,16367,-4,-32,-3,0,0,1
0.830064,-179,564,16364,-6,-31,-3,-2,1,1
0.840062,-183,568,16363,-6,-32,-2,-2,0,2
0.850063,-187,570,16356,-6,-34,0,-2,-2,4
0.860070,-175,572,16345,-5,-34,-1,-1,-2,3
0.870064,-172,568,16343,-4,-34,-3,0,-2,1
0.880062,-177,571,16341,-3,-33,-3,1,-1,1
0.890064,-182,573,16341,-3,-33,-3,1,-1,1
0.900062,-192,557,16342,-3,-31,-3,1,1,1
0.910063,-191,561,16351,-2,-31,-3,2,1,1
0.920062,-192,560,16357,-2,-32,-4,2,0,0
0.930063,-195,564,16356,-1,-32,-4,3,0,0
0.940063,-200,564,16355,-1,-32,-4,3,0,0
0.950063,-194,569,16351,-2,-32,-5,2,0,-1
0.960063,-197,568,16363,-2,-31,-5,2,1,-1
0.970063,-190,569,16366,-2,-30,-4,2,2,0
0.980062,-178,557,16349,-3,-30,-4,1,2,0
0.990062,-171,554,16342,-2,-31,-5,2,1,-1
1.000063,-183,555,16339,-3,-31,-3,1,1,1
1.010063,-179,552,16334,-3,-30,-4,1,2,0
1.020063,-177,572,16333,-4,-30,-2,0,2,2
1.030064,-175,570,16337,-4,-30,-2,0,2,2
1.040073,-174,566,16343,-4,-31,-2,0,1,2
1.050063,-181,579,16344,-3,-31,-2,1,1,2
1.060071,-178,575,16338,-3,-32,-2,1,0,2
1.070064,-185,575,16353,-5,-30,-3,-1,2,1
1.080070,-184,573,16354,-4,-31,-3,0,1,1
1.090064,-178,572,16353,-4,-32,-3,0,0,1
1.100070,-168,589,16343,-2,-33,-3,2,-1,1
1.110063,-171,592,16337,-2,-32,-3,2,0,1
1.120070,-181,571,16345,-4,-32,-3,0,0,1
1.130063,-189,560,16350,-5,-32,-3,-1,0,1
1.140063,-183,553,16344,-6,-31,-3,-2,1,1
1.150063,-195,558,16340,-5,-31,-2,-1,1,2
1.160070,-190,564,16358,-4,-33,-1,0,-1,3
1.170064,-185,563,16359,-3,-34,-1,1,-2,3
1.180063,-187,557,16352,-5,-34,-3,-1,-2,1
1.190063,-187,555,16356,-4,-33,-2,0,-1,2
1.200071,-183,550,16354,-5,-33,-1,-1,-1,3
1.210066,-161,566,16360,-4,-32,-3,0,0,1
1.220063,-164,572,16369,-3,-32,-3,1,0,1
1.230063,-168,585,16373,-2,-32,-2,2,0,2
1.240063,-169,588,16348,-3,-32,-3,1,0,1
1.250063,-173,582,16348,-4,-31,-2,0,1,2
1.260062,-188,578,16364,-4,-30,-1,0,2,3
1.270063,-182,581,16359,-3,-32,-1,1,0,3
1.280088,-187,573,16353,-3,-33,-2,1,-1,2
1.290063,-183,574,16346,-2,-33,-3,2,-1,1
1.300070,-177,576,16348,-2,-33,-3,2,-1,1
1.310063,-172,574,16356,-3,-32,-2,1,0,2
1.320061,-179,575,16360,-3,-31,-2,1,1,2
1.330063,-190,561,16348,-3,-31,-2,1,1,2
1.340062,-187,563,16340,-2,-32,-2,2,0,2
1.350062,-191,558,16335,0,-33,-2,4,-1,2
1.360062,-190,559,16332,-1,-33,-1,3,-1,3
1.370062,-196,558,16342,-3,-32,-3,1,0,1
1.380062,-198,555,16338,-3,-32,-2,1,0,2
1.390063,-206,559,16336,-3,-33,-3,1,-1,1
