# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,-15
# gyro_offset_counts_y,-42
# gyro_offset_counts_z,350

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
0.000019,1174,978,16507,20,-27,169,35,15,-181
0.010087,1137,971,16538,40,-25,162,55,17,-188
0.020088,1090,972,16561,49,-21,161,64,21,-189
0.030093,993,970,16541,57,-8,154,72,34,-196
0.040093,945,954,16501,59,-2,150,74,40,-200
0.050093,868,909,16405,61,2,146,76,44,-204
0.060092,835,885,16356,68,15,135,83,57,-215
0.070092,777,822,16220,73,22,129,88,64,-221
0.080108,746,814,16155,89,37,112,104,79,-238
0.090118,701,812,16097,97,43,102,112,85,-248
0.100106,651,812,16035,101,49,93,116,91,-257
0.110084,651,823,16035,102,56,74,117,98,-276
0.120087,627,865,16040,99,58,65,114,100,-285
0.130086,638,876,16049,96,59,52,111,101,-298
0.140085,655,881,16075,96,56,46,111,98,-304
0.150086,683,886,16094,106,45,38,121,87,-312
0.160085,725,900,16120,113,40,34,128,82,-316
0.170086,794,919,16145,123,34,30,138,76,-320
0.180085,834,926,16143,148,18,21,163,60,-329
0.190086,883,941,16158,160,9,16,175,51,-334
0.200085,888,948,16148,175,-7,8,190,35,-342
0.210086,911,929,16145,177,-14,3,192,28,-347
0.220081,952,888,16120,180,-28,-4,195,14,-354
0.230085,964,866,16120,181,-34,-10,196,8,-360
0.240083,953,811,16126,180,-38,-16,195,4,-366
0.250086,930,804,16126,181,-44,-28,196,-2,-378
0.260087,891,789,16175,180,-44,-36,195,-2,-386
0.270087,864,782,16190,170,-42,-51,185,0,-401
0.280086,834,761,16198,165,-42,-58,180,0,-408
0.290083,804,751,16220,159,-43,-65,174,-1,-415
0.300090,789,756,16217,141,-44,-78,156,-2,-428
0.310444,793,726,16232,129,-46,-83,144,-4,-433
0.320122,790,709,16227,109,-53,-87,124,-11,-437
0.330114,786,668,16226,103,-57,-88,118,-15,-438
0.340117,775,661,16225,94,-64,-89,109,-22,-439
0.350104,776,663,16228,95,-68,-88,110,-26,-438
0.360094,752,686,16269,97,-70,-87,112,-28,-437
0.370091,746,703,16289,102,-73,-87,117,-31,-437
0.380089,761,758,16323,105,-74,-88,120,-32,-438
0.390091,782,778,16337,113,-72,-92,128,-30,-442
0.400078,819,799,16352,115,-69,-96,130,-27,-446
0.410077,872,798,16381,122,-63,-108,137,-21,-458
0.420074,870,804,16397,124,-60,-115,139,-18,-465
0.430077,869,810,16414,123,-56,-122,138,-14,-472
0.440078,867,787,16407,112,-46,-132,127,-4,-482
0.450076,872,712,16408,108,-40,-137,123,2,-487
0.460078,867,674,16410,105,-25,-146,120,17,-496
0.470077,864,663,16408,105,-17,-151,120,25,-501
0.480078,845,615,16419,99,-1,-160,114,41,-510
0.490077,824,614,16436,91,7,-165,106,49,-515
0.500088,802,594,16487,84,15,-170,99,57,-520
0.510096,783,593,16534,67,31,-184,82,73,-534
0.520092,764,581,16611,56,38,-191,71,80,-541
0.530091,747,587,16651,32,46,-206,47,88,-556
0.540089,733,601,16684,20,44,-211,35,86,-561
0.550092,733,631,16705,-7,36,-217,8,78,-567
0.560088,755,629,16709,-23,30,-218,-8,72,-568
0.570092,818,630,16680,-34,21,-217,-19,63,-567
0.580093,875,639,16667,-42,0,-214,-27,42,-564
0.590152,967,729,16681,-38,-14,-211,-23,28,-561
0.600118,1009,803,16690,-22,-39,-206,-7,3,-556
