# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,6
# gyro_offset_counts_y,-33
# gyro_offset_counts_z,6

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
0.000010,-227,1348,16280,-8,-31,3,-14,2,-3
0.010071,-208,1346,16278,-8,-31,9,-14,2,3
0.020068,-202,1395,16276,-8,-30,7,-14,3,1
0.030066,-204,1398,16273,-12,-29,6,-18,4,0
0.040067,-198,1426,16258,-13,-31,2,-19,2,-4
0.050066,-184,1443,16264,-15,-31,-1,-21,2,-7
0.060065,-184,1412,16278,-13,-31,-10,-19,2,-16
0.070065,-193,1425,16281,-13,-32,-18,-19,1,-24
0.080080,-190,1412,16278,-11,-32,-30,-17,1,-36
0.090076,-216,1358,16286,-3,-33,-29,-9,0,-35
0.100088,-202,1357,16292,7,-34,-28,1,-1,-34
0.110067,-201,1346,16280,7,-34,-28,1,-1,-34
0.120064,-198,1334,16270,3,-35,-31,-3,-2,-37
0.130065,-207,1311,16267,-2,-34,-32,-8,-1,-38
0.140069,-210,1306,16255,-3,-33,-36,-9,0,-42
0.150130,-216,1296,16245,-9,-34,-38,-15,-1,-44
0.160079,-221,1232,16281,-9,-35,-34,-15,-2,-40
0.170063,-229,1227,16267,-10,-35,-31,-16,-2,-37
0.180063,-190,1148,16302,-26,-34,-24,-32,-1,-30
0.190062,-221,1072,16335,-10,-34,-37,-16,-1,-43
0.200064,-208,1107,16336,40,-34,-34,34,-1,-40
0.210066,-209,1120,16314,60,-33,-34,54,0,-40
0.220065,-216,1164,16310,78,-34,-37,72,-1,-43
0.230065,-213,1247,16287,107,-35,-45,101,-2,-51
0.240065,-212,1272,16291,119,-35,-45,113,-2,-51
0.250066,-211,1441,16266,135,-35,-35,129,-2,-41
0.260064,-208,1473,16261,132,-35,-19,126,-2,-25
0.270066,-206,1485,16275,131,-30,14,125,3,8
0.280065,-202,1533,16220,122,-30,18,116,3,12
0.290064,-202,1544,16231,103,-30,22,97,3,16
0.300066,-204,1534,16260,93,-31,32,87,2,26
0.310066,-215,1549,16272,95,-31,37,89,2,31
0.320065,-199,1625,16233,95,-30,36,89,3,30
0.330065,-187,1648,16220,82,-32,25,76,1,19
0.340064,-235,1638,16224,62,-31,16,56,2,10
0.350065,-256,1543,16248,41,-33,8,35,0,2
0.360065,-242,1545,16242,34,-35,7,28,-2,1
0.370063,-203,1474,16268,24,-34,13,18,-1,7
0.380065,-180,1449,16301,36,-34,24,30,-1,18
0.390064,-196,1442,16302,71,-31,39,65,2,33
0.400064,-198,1547,16248,71,-31,41,65,2,35
0.410065,-177,1578,16242,64,-32,36,58,1,30
0.420065,-188,1648,16241,49,-35,11,43,-2,5
0.430066,-231,1626,16241,35,-36,4,29,-3,-2
0.440065,-260,1536,16247,20,-36,0,14,-3,-6
0.450065,-245,1538,16243,12,-37,-3,6,-4,-9
0.460064,-237,1540,16247,-8,-37,-10,-14,-4,-16
0.470065,-191,1504,16294,-12,-37,-11,-18,-4,-17
0.480064,-162,1526,16300,-5,-35,-10,-11,-2,-16
0.490064,-180,1513,16287,9,-36,-5,3,-3,-11
0.500063,-177,1510,16287,18,-36,-6,12,-3,-12
0.510065,-255,1472,16266,16,-34,-3,10,-1,-9
0.520065,-252,1467,16286,15,-34,0,9,-1,-6
0.530065,-252,1502,16275,10,-34,2,4,-1,-4
0.540065,-217,1487,16282,4,-34,4,-2,-1,-2
0.550065,-184,1464,16296,11,-34,9,5,-1,3
0.560065,-129,1547,16255,26,-33,3,20,0,-3
0.570064,-160,1535,16260,15,-32,0,9,1,-6
0.580065,-215,1453,16283,15,-28,17,9,5,11
0.590088,-262,1430,16279,26,-27,26,20,6,20
0.600070,-278,1493,16252,28,-28,32,22,5,26
0.610069,-267,1575,16246,19,-30,27,13,3,21
0.620065,-251,1609,16252,14,-32,22,8,1,16
0.630065,-242,1634,16254,7,-32,15,1,1,9
0.640064,-230,1598,16271,5,-33,11,-1,0,5
0.650066,-218,1565,16293,19,-31,9,13,2,3
0.660063,-203,1541,16293,27,-30,10,21,3,4
0.670065,-211,1535,16309,34,-29,11,28,4,5
0.680063,-223,1548,16295,55,-25,18,49,8,12
0.690064,-201,1577,16275,64,-24,25,58,9,19
0.700063,-164,1607,16292,82,-24,41,76,9,35
0.710064,-168,1596,16273,94,-23,41,88,10,35
0.720063,-126,1578,16253,93,-22,44,87,11,38
0.730065,-116,1534,16269,87,-22,49,81,11,43
0.740063,-88,1507,16280,91,-23,56,85,10,50
0.750064,-10,1607,16282,102,-20,73,96,13,67
0.760063,21,1629,16330,97,-11,81,91,22,75
0.770065,167,1719,16517,88,28,73,82,61,67
0.780064,242,1812,16561,80,72,55,74,105,49
0.790064,277,1863,16547,43,177,13,37,210,7
0.800063,139,1776,16492,29,224,3,23,257,-3
0.810064,79,1712,16471,21,264,-1,15,297,-7
0.820063,34,1684,16464,18,329,-11,12,362,-17
0.830065,43,1733,16464,18,360,-21,12,393,-27
0.840063,53,1813,16450,17,422,-65,11,455,-71
0.850065,-37,1997,16439,11,454,-98,5,487,-104
0.860064,-122,2003,16465,7,489,-115,1,522,-121
0.870064,-201,2113,16460,15,564,-171,9,597,-177
0.880063,-239,2109,16466,8,603,-197,2,636,-203
0.890064,-315,2057,16383,9,679,-256,3,712,-262
0.900064,-393,2015,16302,2,703,-287,-4,736,-293
0.910064,-484,1997,16184,-13,710,-333,-19,743,-339
0.920063,-709,1930,16114,-22,701,-347,-28,734,-353
0.930064,-792,1896,16160,-23,689,-353,-29,722,-359
0.940063,-906,1773,16003,1,657,-355,-5,690,-361
0.950065,-1087,1673,15916,29,611,-343,23,644,-349
0.960063,-1199,1544,15805,92,486,-320,86,519,-326
0.970064,-1260,1553,15817,100,416,-320,94,449,-326
0.980062,-1316,1515,15888,81,309,-305,75,342,-311
0.990063,-1412,1372,16111,87,285,-303,81,318,-309
1.000063,-1460,1330,16206,106,268,-307,100,301,-313
1.010064,-1566,1452,16062,113,242,-310,107,275,-316
1.020063,-1560,1474,16052,83,225,-305,77,258,-311
1.030064,-1435,1505,16199,61,201,-290,55,234,-296
1.040064,-1398,1507,16256,63,201,-287,57,234,-293
1.050064,-1381,1554,16287,78,220,-278,72,253,-284
1.060064,-1272,1604,16360,75,240,-270,69,273,-276
1.070064,-1209,1645,16396,75,266,-252,69,299,-258
1.080063,-1103,1756,16443,80,324,-231,74,357,-237
1.090065,-1107,1791,16456,81,362,-232,75,395,-238
1.100064,-1121,1792,16467,94,440,-236,88,473,-242
1.110063,-1227,1847,16375,109,470,-242,103,503,-248
1.120065,-1338,1805,16366,118,497,-243,112,530,-249
1.130064,-1402,1808,16404,165,543,-232,159,576,-238
1.140064,-1385,1867,16431,192,573,-238,186,606,-244
1.150064,-1371,2067,16441,204,662,-278,198,695,-284
1.160064,-1276,2262,16393,181,715,-351,175,748,-357
1.170064,-1408,2346,16336,83,817,-468,77,850,-474
1.180064,-2040,1863,16329,84,860,-435,78,893,-441
1.190064,-2198,1750,16228,167,876,-384,161,909,-390
1.200064,-2335,2000,15951,230,868,-329,224,901,-335
1.210064,-2348,1998,15979,214,859,-324,208,892,-330
1.220064,-2444,1786,16056,236,843,-322,230,876,-328
1.230064,-2546,1620,16061,292,833,-317,286,866,-323
1.240063,-2503,1685,15954,336,798,-337,330,831,-343
1.250064,-2818,1563,15801,318,771,-312,312,804,-318
1.260063,-2842,1425,15781,292,737,-315,286,770,-321
1.270067,-2981,1368,15823,302,649,-330,296,682,-336
1.280064,-3055,1487,15819,319,606,-321,313,639,-327
1.290063,-3056,1848,15733,306,534,-287,300,567,-293
1.300064,-2982,2019,15711,274,501,-267,268,534,-273
1.310064,-2907,2146,15727,243,469,-244,237,502,-250
1.320064,-2934,2348,15736,173,420,-224,167,453,-230
1.330064,-3003,2329,15736,140,397,-212,134,430,-218
1.340064,-2964,2350,15582,65,312,-312,59,345,-318
1.350083,-3050,2432,15521,-40,260,-408,-46,293,-414
1.360062,-3112,2319,15578,-285,188,-585,-291,221,-591
1.370061,-3241,2095,15600,-404,170,-643,-410,203,-649
1.380064,-3207,1984,15652,-525,146,-714,-531,179,-720
1.390063,-3305,1499,16021,-618,136,-730,-624,169,-736
1.400065,-3263,1445,16090,-538,135,-703,-544,168,-709
1.410064,-3207,1484,16037,-367,133,-611,-373,166,-617
1.420064,-3088,1753,16010,-307,122,-578,-313,155,-584
1.430064,-3055,1979,16028,-267,127,-463,-273,160,-469
1.440063,-3007,1627,16103,-250,133,-326,-256,166,-332
1.450065,-3045,1747,16116,-208,149,-239,-214,182,-245
1.460062,-3056,1852,16051,-325,241,-175,-331,274,-181
1.470064,-3052,1853,16049,-414,283,-191,-420,316,-197
1.480064,-3082,2081,15930,-522,358,-187,-528,391,-193
1.490064,-3098,2145,15860,-559,375,-174,-565,408,-180
1.500062,-3108,1997,15882,-569,374,-229,-575,407,-235
1.510064,-3144,1293,15922,-509,358,-270,-515,391,-276
1.520064,-3388,984,15969,-417,338,-283,-423,371,-289
1.530064,-3888,469,16238,-135,309,-248,-141,342,-254
1.540063,-4009,517,16291,43,314,-208,37,347,-214
1.550064,-4125,754,16277,390,344,-114,384,377,-120
1.560064,-4051,1594,16025,486,357,-80,480,390,-86
1.570064,-4011,1731,16038,563,371,-59,557,404,-65
1.580064,-3970,1836,15858,659,408,-59,653,441,-65
1.590063,-3964,1932,15725,629,420,-73,623,453,-79
1.600064,-3908,2078,15746,479,434,-97,473,467,-103
1.610063,-3787,2167,15803,452,441,-105,446,474,-111
1.620062,-3570,2309,15747,368,449,-195,362,482,-201
1.630064,-3363,2507,15642,275,443,-284,269,476,-290
1.640063,-3363,2409,15642,192,436,-378,186,469,-384
1.650081,-3636,2075,15714,118,424,-510,112,457,-516
1.660063,-3789,2038,15732,111,425,-546,105,458,-552
1.670064,-3746,1964,15796,139,436,-615,133,469,-621
1.680063,-3613,1995,15814,175,463,-662,169,496,-668
1.690063,-3315,1841,15640,323,552,-744,317,585,-750
1.700063,-3895,1658,16105,497,552,-677,491,585,-683
1.710164,-3968,1118,16173,699,550,-625,693,583,-631
1.720192,-4478,1254,15866,1005,562,-553,999,595,-559
1.730126,-4453,1681,15653,1033,574,-541,1027,607,-547
1.740090,-4858,2070,15455,830,607,-532,824,640,-538
1.750088,-5071,2252,15338,677,622,-511,671,655,-517
1.760086,-5177,2251,15301,354,626,-372,348,659,-378
1.770088,-5074,2128,15289,213,617,-313,207,650,-319
1.780086,-5036,2186,15212,40,604,-278,34,637,-284
1.790087,-5135,2051,15187,-353,570,-286,-359,603,-292
1.800095,-5206,1961,15159,-529,545,-320,-535,578,-326
1.810117,-5236,1913,15158,-724,458,-393,-730,491,-399
1.820090,-5158,1739,15398,-724,415,-400,-730,448,-406
1.830074,-5050,1757,15483,-698,386,-404,-704,419,-410
1.840061,-5031,1611,15634,-604,369,-353,-610,402,-359
