# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,1093
# gyro_offset_counts_y,-320
# gyro_offset_counts_z,-19

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
0.000009,2434,11013,11883,642,-117,-26,-451,203,-7
0.010067,2463,11031,11836,660,-86,-27,-433,234,-8
0.020064,2509,11061,11863,692,-28,-33,-401,292,-14
0.030067,2590,10979,11996,713,-24,-36,-380,296,-17
0.040065,2631,10994,12007,739,-37,-40,-354,283,-21
0.050066,2697,11130,11804,785,-93,-51,-308,227,-32
0.060064,2759,11224,11685,783,-111,-55,-310,209,-36
0.070066,2800,11286,11589,725,-112,-63,-368,208,-44
0.080084,2855,11353,11551,684,-110,-62,-409,210,-43
0.090091,2834,11348,11592,636,-125,-49,-457,195,-30
0.100071,2811,11325,11702,544,-210,-3,-549,110,16
0.110065,2833,11342,11671,507,-265,14,-586,55,33
0.120065,2860,11411,11455,456,-329,14,-637,-9,33
0.130064,2876,11464,11339,440,-324,-3,-653,-4,16
0.140065,2874,11500,11271,416,-266,-49,-677,54,-30
0.150064,2829,11528,11282,407,-233,-72,-686,87,-53
0.160065,2788,11509,11333,401,-208,-88,-692,112,-69
0.170064,2724,11496,11498,414,-195,-96,-679,125,-77
0.180064,2727,11465,11512,444,-213,-100,-649,107,-81
0.190064,2765,11609,11268,522,-243,-115,-571,77,-96
0.200063,2781,11655,11150,554,-226,-126,-539,94,-107
0.210064,2757,11696,11082,603,-158,-137,-490,162,-118
0.220066,2661,11705,11207,622,-139,-137,-471,181,-118
0.230064,2653,11717,11263,640,-139,-131,-453,181,-112
0.240065,2546,11773,11216,676,-163,-117,-417,157,-98
0.250064,2513,11814,11126,691,-171,-109,-402,149,-90
0.260064,2543,11976,10922,708,-165,-85,-385,155,-66
0.270063,2570,11962,10855,701,-147,-72,-392,173,-53
0.280065,2582,12037,10848,668,-122,-33,-425,198,-14
0.290065,2576,12098,10836,632,-120,-7,-461,200,12
0.300065,2586,12113,10853,584,-125,23,-509,195,42
0.310063,2670,12054,10920,467,-146,90,-626,174,109
0.320063,2692,11999,10969,411,-160,117,-682,160,136
0.330064,2709,11950,10997,324,-182,133,-769,138,152
0.340104,2752,11834,10985,299,-184,121,-794,136,140
0.350091,2755,11860,10971,289,-181,100,-804,139,119
0.360064,2728,11976,10906,271,-163,57,-822,157,76
0.370062,2720,11971,10915,255,-156,47,-838,164,66
0.380063,2798,11996,10931,231,-154,25,-862,166,44
0.390062,2836,12006,10926,214,-159,20,-879,161,39
0.400063,2871,12015,10903,183,-171,26,-910,149,45
0.410068,2869,12072,10842,166,-177,41,-927,143,60
0.420065,2840,12064,10846,149,-179,63,-944,141,82
0.430063,2868,11964,10891,137,-179,72,-956,141,91
0.440065,2878,11919,10895,145,-169,55,-948,151,74
0.450063,2889,11931,10869,182,-140,0,-911,180,19
0.460064,2901,11965,10843,196,-124,-24,-897,196,-5
0.470063,2899,11964,10823,227,-98,-61,-866,222,-42
0.480064,2908,12043,10777,241,-87,-72,-852,233,-53
0.490063,2891,12079,10771,251,-76,-78,-842,244,-59
0.500062,2852,12098,10768,264,-72,-80,-829,248,-61
0.510062,2834,12084,10760,281,-79,-85,-812,241,-66
0.520064,2822,12128,10703,324,-91,-104,-769,229,-85
0.530063,2808,12174,10690,343,-93,-109,-750,227,-90
0.540064,2770,12221,10647,357,-106,-102,-736,214,-83
0.550062,2722,12344,10567,339,-110,-88,-754,210,-69
0.560063,2709,12350,10565,310,-115,-69,-783,205,-50
0.570063,2706,12300,10604,252,-123,-38,-841,197,-19
0.580065,2704,12304,10585,236,-130,-34,-857,190,-15
0.590082,2712,12335,10514,213,-132,-38,-880,188,-19
0.600080,2777,12382,10418,207,-122,-45,-886,198,-26
